dateStart,name,lat,lng
2005-07-13,125-22205,40.276911,-80.286303
2005-07-28,125-22212,40.275861,-80.307888
2005-11-27,047-23579,41.570395,-78.616798
2005-12-05,125-22261,40.272722,-80.314388
2005-12-09,125-22238,40.284467,-80.291858
2006-01-20,125-22258,40.306689,-80.318166
2006-02-13,125-22252,40.268912,-80.371139
2006-02-20,125-22259,40.283134,-80.302942
2006-02-22,005-28066,40.837693,-79.687642
2006-03-06,019-21405,40.963563,-79.948444
2006-04-06,125-22264,40.265388,-80.366222
2006-04-10,059-23659,39.898301,-80.017237
2006-04-17,125-22265,40.270245,-80.377306
2006-04-27,125-22283,40.252328,-80.353277
2006-05-02,125-22300,40.272439,-80.313192
2006-05-10,125-22237,40.310955,-80.32598
2006-05-26,005-28706,40.854547,-79.60313
2006-06-19,125-22366,40.287944,-80.314166
2006-06-27,019-21423,40.960897,-79.948611
2006-07-15,125-22317,40.262884,-80.330637
2006-08-14,125-22401,40.285884,-80.321193
2006-08-21,125-22348,40.409011,-80.475213
2006-08-25,083-51202,41.779184,-78.272091
2006-08-31,125-22410,40.260333,-80.503138
2006-09-01,125-22391,40.400726,-80.489836
2006-09-06,047-23782,41.573489,-78.618457
2006-09-22,015-20062,41.952313,-76.659666
2006-09-22,125-22277,40.258773,-80.359888
2006-09-25,115-20007,41.713152,-75.877926
2006-10-06,125-22415,40.276689,-80.354305
2006-10-12,015-20064,41.978248,-76.638759
2006-10-13,083-51038,41.755254,-78.411263
2006-10-17,019-21421,40.678731,-79.750586
2006-10-19,125-22420,40.26805,-80.347638
2006-10-27,051-23451,39.769508,-79.802347
2006-11-13,051-23452,40.115393,-79.795545
2006-11-17,005-28666,40.646667,-79.386925
2006-11-29,125-22414,40.275134,-80.342943
2006-12-12,125-22433,40.271217,-80.353499
2006-12-14,117-20185,41.698977,-77.548429
2006-12-22,125-22495,40.274356,-80.34886
2006-12-26,059-24036,39.908954,-79.951979
2007-01-05,019-21438,40.881535,-79.980124
2007-01-10,125-22508,40.250967,-80.324304
2007-01-17,125-22440,40.260662,-80.375972
2007-01-18,105-21423,41.791944,-78.167232
2007-01-22,105-21301,41.715845,-78.147149
2007-01-31,125-22431,40.270939,-80.363722
2007-01-31,125-22447,40.2833,-80.310137
2007-02-12,125-22434,40.26605,-80.358833
2007-02-16,125-22509,40.253305,-80.318611
2007-02-21,125-22500,40.301606,-80.32125
2007-02-26,105-21240,41.713803,-78.14474
2007-03-05,125-22471,40.295661,-80.297997
2007-03-16,125-22472,40.298578,-80.291914
2007-03-21,047-23827,41.568364,-78.634235
2007-03-28,125-22582,40.32205,-80.333248
2007-03-30,105-21302,41.847794,-78.15756
2007-04-09,105-21299,41.878349,-78.156015
2007-04-12,125-22532,40.270495,-80.339027
2007-04-13,033-26401,41.162892,-78.453158
2007-04-13,125-22620,40.292356,-80.324387
2007-04-24,125-22548,40.256194,-80.348444
2007-04-25,031-24616,41.150636,-79.215881
2007-04-27,051-23464,39.78148,-79.860099
2007-04-30,125-22533,40.270523,-80.332804
2007-05-01,059-24229,39.802166,-80.004903
2007-05-10,125-22619,40.284884,-80.351527
2007-05-11,031-24654,41.195374,-79.21307
2007-05-11,051-23607,39.799474,-79.868279
2007-05-11,125-22536,40.261189,-80.345277
2007-05-12,125-22537,40.260078,-80.338721
2007-05-20,125-22641,40.284689,-80.346527
2007-05-22,031-24652,41.20133,-79.2145
2007-05-24,125-22618,40.250694,-80.378805
2007-05-25,005-29285,40.74445,-79.617755
2007-05-25,125-22639,40.272411,-80.308637
2007-06-01,059-24212,39.867171,-80.048502
2007-06-05,125-22629,40.278911,-80.296942
2007-06-06,125-22637,40.298717,-80.378639
2007-06-18,125-22638,40.261995,-80.371777
2007-06-19,125-22705,40.280967,-80.281191
2007-06-21,125-22600,40.250995,-80.367778
2007-06-23,019-21462,40.761902,-79.837028
2007-06-27,019-21469,40.960842,-79.956064
2007-07-01,129-26958,40.246022,-79.755924
2007-07-03,019-21456,40.764076,-79.83932
2007-07-06,019-21451,40.922029,-79.96764
2007-07-09,125-22709,40.280555,-80.380194
2007-07-09,125-22669,40.288272,-80.345443
2007-07-10,015-20075,41.862734,-76.708772
2007-07-11,019-21465,40.789047,-79.999619
2007-07-17,015-20076,41.860142,-76.711781
2007-07-17,019-21454,40.772799,-79.72358
2007-07-21,125-22726,40.256912,-80.332443
2007-07-23,059-24323,39.726803,-80.015357
2007-07-23,081-20056,41.376698,-77.137139
2007-07-24,125-22724,40.248412,-80.328554
2007-07-27,059-24335,39.725115,-80.010918
2007-08-04,125-22723,40.254189,-80.320998
2007-08-08,059-24384,39.726459,-79.990384
2007-08-08,125-22499,40.3055,-80.326305
2007-08-13,125-22758,40.277106,-80.240023
2007-08-15,005-29428,40.774113,-79.568855
2007-08-15,123-43847,41.772196,-79.461747
2007-08-19,027-21117,41.00662,-77.960779
2007-08-20,125-22688,40.2833,-80.343304
2007-08-21,125-22505,40.290356,-80.294969
2007-08-23,123-43883,41.760214,-79.554144
2007-08-27,047-23921,41.572733,-78.62881
2007-08-30,059-24385,39.724378,-79.98755
2007-09-01,125-22864,40.289717,-80.298081
2007-09-06,059-24386,39.725967,-79.997212
2007-09-07,047-23932,41.350174,-78.536352
2007-09-11,125-22882,40.299078,-80.296553
2007-09-12,019-21502,40.864501,-79.707545
2007-09-12,125-22874,40.276439,-80.234829
2007-09-20,019-21446,40.928187,-80.035123
2007-09-20,125-22831,40.291606,-80.311831
2007-09-24,047-23983,41.350813,-78.539713
2007-09-25,115-20008,41.751107,-75.868131
2007-09-25,125-22636,40.314411,-80.321527
2007-09-30,081-20059,41.253377,-77.289456
2007-10-01,051-21331,40.084257,-79.709018
2007-10-03,125-22900,40.2838,-80.297747
2007-10-05,059-24458,39.732889,-80.00222
2007-10-09,019-21481,41.080558,-80.027047
2007-10-11,059-24338,39.912576,-79.961852
2007-10-16,081-20057,41.321727,-77.29795
2007-10-16,105-21391,41.780097,-78.142968
2007-10-17,081-20060,41.274805,-77.266705
2007-10-20,047-23931,41.493367,-78.59452
2007-10-22,115-20009,41.794946,-76.032075
2007-10-24,059-24489,39.942481,-79.982558
2007-10-29,105-21392,41.787142,-78.167435
2007-10-31,129-27145,40.296429,-79.629117
2007-11-02,081-20058,41.314171,-77.141862
2007-11-04,129-27089,40.247716,-79.76073
2007-11-07,125-22799,40.271828,-80.29822
2007-11-08,051-23687,39.93402,-79.863496
2007-11-12,125-22942,40.254467,-80.248274
2007-11-13,051-23573,40.115637,-79.799468
2007-11-13,111-20265,39.928301,-78.775796
2007-11-26,047-23938,41.497478,-78.592159
2007-11-28,019-21522,40.890757,-79.792231
2007-11-28,105-21404,41.845363,-78.155915
2007-12-02,129-27169,40.233633,-79.75673
2007-12-06,059-24492,39.727178,-79.981042
2007-12-10,125-22885,40.179635,-80.406501
2007-12-13,125-22941,40.274,-80.318361
2007-12-16,125-22752,40.28355,-80.227356
2007-12-18,019-21476,41.122804,-79.753513
2007-12-27,051-23718,39.863693,-79.830117
2007-12-27,083-52928,41.637466,-78.370143
2007-12-28,059-24342,39.903526,-79.960068
2007-12-28,059-24480,39.722017,-79.981075
2007-12-30,059-24573,39.898282,-80.291812
2008-01-03,051-23754,40.009466,-79.628482
2008-01-03,129-27200,40.242383,-79.754591
2008-01-09,081-20062,41.264838,-76.62828
2008-01-11,051-23688,39.933417,-79.859337
2008-01-13,125-22897,40.274411,-80.253635
2008-01-16,059-24387,39.723887,-79.994378
2008-01-20,033-26518,41.163787,-78.460239
2008-01-21,129-26836,40.211133,-79.71184
2008-01-22,129-26838,40.209355,-79.708673
2008-01-23,059-24585,39.941471,-80.264303
2008-01-27,051-23727,39.971983,-79.654544
2008-01-31,129-26883,40.224494,-79.713201
2008-02-01,059-24353,39.911062,-79.958418
2008-02-03,059-24562,39.810694,-79.967405
2008-02-06,059-24584,39.869241,-79.98495
2008-02-07,019-21464,40.804636,-80.076044
2008-02-07,129-26882,40.222439,-79.710312
2008-02-08,059-24363,39.937479,-79.96211
2008-02-12,059-24558,39.894807,-80.000036
2008-02-12,105-21409,41.807316,-78.121378
2008-02-14,129-27316,40.2378,-79.757508
2008-02-20,019-21448,40.831866,-80.038331
2008-02-20,081-20063,41.37467,-77.1345
2008-02-21,015-20081,41.786605,-76.23091
2008-02-21,125-23007,40.255661,-80.23719
2008-02-21,125-22899,40.271134,-80.252107
2008-02-22,059-24484,39.732506,-80.013179
2008-02-24,129-27281,40.192744,-79.716729
2008-02-26,115-20010,41.717291,-75.87904
2008-02-26,125-23023,40.330105,-80.281747
2008-03-01,059-24642,39.733756,-79.987414
2008-03-03,059-24577,39.865093,-79.983652
2008-03-04,117-20264,41.786842,-77.18475
2008-03-04,129-27282,40.1923,-79.712756
2008-03-06,005-29610,40.782821,-79.50492
2008-03-07,015-20079,41.86122,-76.697761
2008-03-10,015-20080,41.85797,-76.692066
2008-03-10,059-24482,39.909784,-79.968521
2008-03-11,115-20022,41.794944,-76.032259
2008-03-12,125-23056,40.274411,-80.253579
2008-03-13,081-20069,41.274594,-77.267033
2008-03-13,129-27280,40.194328,-79.720562
2008-03-14,059-24559,39.885874,-80.007384
2008-03-16,129-27165,40.187439,-79.747619
2008-03-20,059-24659,39.941304,-80.264275
2008-03-20,129-26870,40.227939,-79.712729
2008-03-21,059-24442,39.850718,-79.963044
2008-03-22,059-24394,39.906429,-79.945243
2008-03-26,081-20067,41.323227,-77.291728
2008-03-27,027-21452,41.091134,-77.969332
2008-03-27,115-20034,41.724333,-75.871429
2008-03-28,027-21453,41.091156,-77.969368
2008-03-28,125-23040,40.277133,-80.239968
2008-03-29,059-24620,39.721901,-79.961716
2008-03-29,059-24606,39.852077,-79.968358
2008-03-31,129-27277,40.202633,-79.74123
2008-04-03,115-20031,41.718879,-75.655802
2008-04-05,051-23926,39.958622,-79.83427
2008-04-05,059-24424,39.857046,-79.986736
2008-04-05,125-23048,40.178968,-80.410946
2008-04-05,129-27331,40.171384,-79.75723
2008-04-07,117-20197,41.984134,-77.026332
2008-04-09,059-24518,39.807403,-80.415758
2008-04-09,083-53293,41.948475,-78.792314
2008-04-10,125-23008,40.243828,-80.279191
2008-04-10,125-23041,40.277133,-80.239912
2008-04-12,059-24612,39.83723,-79.97098
2008-04-12,125-23130,40.243828,-80.279219
2008-04-13,051-23960,39.916265,-79.868501
2008-04-13,081-20061,41.270575,-77.278802
2008-04-14,019-21554,41.13399,-79.747335
2008-04-18,115-20041,41.724238,-75.871351
2008-04-21,019-21494,40.847568,-79.837178
2008-04-21,059-24719,39.887871,-80.29379
2008-04-21,059-24661,39.815125,-80.00455
2008-04-22,051-23961,39.941509,-79.863682
2008-04-23,125-23032,40.248606,-80.263163
2008-04-25,019-21553,41.113621,-79.740298
2008-04-25,059-24701,39.93404,-80.029573
2008-04-25,081-20092,41.335286,-77.164677
2008-04-25,081-20091,41.329565,-77.167427
2008-04-25,129-27279,40.200883,-79.730118
2008-04-28,129-27422,40.29436,-79.625328
2008-05-05,125-23098,40.215329,-80.314665
2008-05-05,127-20006,41.685103,-75.365776
2008-05-05,129-27431,40.237827,-79.746868
2008-05-06,019-21542,40.883434,-79.72569
2008-05-06,115-20038,41.794763,-76.029431
2008-05-06,115-20023,41.708,-75.871256
2008-05-08,117-20199,41.704077,-77.562421
2008-05-09,051-23968,39.930898,-79.872713
2008-05-09,059-24693,39.94159,-80.029898
2008-05-09,129-27394,40.182439,-79.742841
2008-05-13,005-29506,40.79971,-79.597803
2008-05-13,129-27246,40.494349,-79.566431
2008-05-15,129-27241,40.246272,-79.747896
2008-05-16,051-23958,39.837526,-79.54003
2008-05-16,129-27421,40.296907,-79.636145
2008-05-17,115-20024,41.713119,-75.871073
2008-05-19,115-20027,41.794946,-76.031892
2008-05-22,125-23100,40.244051,-80.309359
2008-05-23,059-24469,39.879343,-79.983839
2008-05-23,125-23160,40.206996,-80.367333
2008-05-27,005-29684,40.857195,-79.509583
2008-05-27,051-23976,40.11959,-79.815463
2008-05-27,105-21434,41.871718,-77.916271
2008-05-28,005-29722,40.80276,-79.661266
2008-05-28,115-20019,41.733888,-75.876963
2008-05-28,115-20030,41.723399,-75.878329
2008-05-29,117-20198,41.677841,-77.58123
2008-06-02,051-23977,40.120332,-79.801973
2008-06-02,059-24483,39.902359,-79.955649
2008-06-02,059-24799,39.915048,-79.990161
2008-06-04,059-24737,39.893419,-80.29576
2008-06-05,125-23174,40.226385,-80.516255
2008-06-06,015-20084,41.715,-76.366397
2008-06-06,035-21108,41.198065,-77.68818
2008-06-08,005-29720,40.860454,-79.579966
2008-06-09,105-21435,41.874251,-77.664896
2008-06-09,129-27488,40.249411,-79.744729
2008-06-11,051-23940,40.111696,-79.795434
2008-06-13,125-23159,40.20694,-80.367222
2008-06-16,015-20100,41.724563,-76.819466
2008-06-16,115-20035,41.72328,-75.884552
2008-06-16,115-20048,41.712033,-75.864523
2008-06-20,059-24666,39.871424,-80.058735
2008-06-21,125-23158,40.243217,-80.321304
2008-06-21,129-27432,40.188106,-79.736646
2008-06-23,031-24858,41.30441,-79.348849
2008-06-23,051-23990,39.998566,-79.807174
2008-06-23,059-24694,39.941734,-80.025142
2008-06-23,115-20044,41.73163,-76.010045
2008-06-24,047-24131,41.286921,-78.616246
2008-06-24,115-20058,41.731902,-76.010089
2008-06-25,125-22816,40.450409,-80.340609
2008-06-27,125-23153,40.116719,-80.228135
2008-06-28,125-23182,40.246662,-80.381306
2008-06-30,105-21484,41.847747,-78.157337
2008-07-01,059-24650,39.928568,-79.971838
2008-07-02,051-23989,39.846313,-79.857604
2008-07-02,125-22793,40.262828,-80.388
2008-07-07,015-20096,41.709196,-76.682475
2008-07-10,115-20056,41.712102,-75.864579
2008-07-11,051-24023,39.930009,-79.857148
2008-07-11,081-20089,41.265034,-76.627926
2008-07-13,125-22668,40.261023,-80.390667
2008-07-14,047-24120,41.590514,-78.649941
2008-07-15,125-22830,40.262828,-80.388056
2008-07-16,115-20036,41.728213,-75.87909
2008-07-16,115-20032,41.832687,-75.781528
2008-07-17,125-22721,40.254217,-80.320887
2008-07-17,129-27504,40.196633,-79.714062
2008-07-20,047-24138,41.291508,-78.618133
2008-07-22,015-20091,41.728758,-76.818016
2008-07-23,125-22861,40.260912,-80.390612
2008-07-24,051-23975,40.117029,-79.821569
2008-07-24,059-24828,39.927026,-80.009386
2008-07-24,115-20015,41.729171,-75.871993
2008-07-24,129-27501,40.235105,-79.744313
2008-07-25,063-35940,40.677699,-78.985936
2008-07-26,059-24716,39.879147,-80.047988
2008-07-26,125-22991,40.258612,-80.248247
2008-07-28,015-20082,41.929025,-76.578701
2008-07-28,035-21116,41.244107,-77.978098
2008-08-01,125-23151,40.228745,-80.321721
2008-08-01,129-27490,40.358547,-79.33441
2008-08-04,051-23985,40.115215,-79.817341
2008-08-04,059-24826,39.933473,-80.004033
2008-08-06,129-27507,40.238383,-79.731007
2008-08-07,117-20208,41.995944,-77.542555
2008-08-07,125-23169,40.243801,-80.34711
2008-08-08,125-23224,40.22869,-80.321748
2008-08-10,051-23984,40.09594,-79.806738
2008-08-11,115-20026,41.744566,-75.879518
2008-08-12,005-29773,40.63,-79.366969
2008-08-14,117-20209,41.75223,-77.03227
2008-08-15,059-24798,39.815108,-80.004555
2008-08-15,129-27509,40.226522,-79.693617
2008-08-16,115-20043,41.728308,-75.885293
2008-08-18,015-20093,41.724155,-76.811483
2008-08-18,051-24009,39.930248,-79.851451
2008-08-18,059-24468,39.845488,-79.972608
2008-08-18,063-35617,40.541655,-79.032822
2008-08-18,117-20202,41.618987,-76.935829
2008-08-18,125-23173,40.226357,-80.516472
2008-08-18,129-27506,40.233355,-79.731674
2008-08-20,059-24715,39.923565,-80.003158
2008-08-21,047-24135,41.57845,-78.471071
2008-08-21,059-24833,39.895832,-80.286346
2008-08-22,033-26619,40.82911,-78.638119
2008-08-22,117-20207,41.734781,-77.374151
2008-08-22,129-27487,40.358131,-79.344799
2008-08-24,059-24473,39.73647,-80.008393
2008-08-24,129-27503,40.211355,-79.702867
2008-08-25,015-20097,41.710069,-76.69489
2008-08-28,047-24136,41.584644,-78.472432
2008-08-28,125-23084,40.257745,-80.310248
2008-09-02,015-20094,41.624423,-76.825561
2008-09-02,059-24428,39.858621,-79.997372
2008-09-02,125-23205,40.122638,-80.216083
2008-09-02,129-27497,40.227994,-79.704228
2008-09-06,059-24802,39.924304,-79.966913
2008-09-06,117-20203,41.754992,-77.368375
2008-09-08,059-24829,39.906493,-79.989911
2008-09-08,059-24748,39.892549,-79.985177
2008-09-08,083-52436,41.730057,-78.560435
2008-09-09,059-24686,39.933273,-79.968749
2008-09-11,125-23196,40.19619,-80.351583
2008-09-12,105-21500,41.728198,-78.168133
2008-09-12,125-22801,40.269606,-80.301775
2008-09-14,059-24476,39.842055,-79.975402
2008-09-14,081-20109,41.270892,-76.659691
2008-09-14,125-23157,40.243245,-80.321276
2008-09-15,117-20204,41.753331,-77.338424
2008-09-16,033-26585,41.019731,-78.761283
2008-09-16,059-24827,39.929418,-80.004806
2008-09-18,059-24851,39.940848,-79.955735
2008-09-21,125-22957,40.272134,-80.384195
2008-09-22,015-20105,41.786636,-76.230888
2008-09-22,015-20104,41.746893,-76.644888
2008-09-23,035-21124,41.230617,-77.467373
2008-09-23,081-20116,41.406473,-77.160718
2008-09-23,115-20033,41.738713,-75.878912
2008-09-24,059-24674,39.886671,-80.043749
2008-09-25,005-29498,40.752849,-79.509748
2008-09-25,059-24796,39.938226,-79.949501
2008-09-29,063-36002,40.826506,-79.147994
2008-09-30,051-24062,39.937692,-79.862934
2008-10-02,019-21519,40.733711,-79.86052
2008-10-02,047-24137,41.583505,-78.475849
2008-10-05,125-23271,40.269384,-80.385195
2008-10-06,033-26690,41.092315,-78.30604
2008-10-06,065-25782,41.295028,-78.913879
2008-10-07,059-24920,39.902632,-80.309821
2008-10-07,059-24965,39.89573,-80.286246
2008-10-07,129-27495,40.359714,-79.339744
2008-10-08,059-24830,39.905912,-79.996356
2008-10-11,115-20039,41.749649,-75.874784
2008-10-12,035-21123,41.246617,-77.474456
2008-10-13,019-21568,40.810736,-80.038676
2008-10-14,033-26689,41.096315,-78.307679
2008-10-14,115-20050,41.731194,-75.891402
2008-10-15,125-22960,40.274745,-80.391278
2008-10-16,059-24902,39.901702,-80.294199
2008-10-16,083-53842,41.790361,-78.545111
2008-10-17,059-24928,39.902799,-80.28654
2008-10-17,059-24743,39.824588,-80.059616
2008-10-20,125-23165,40.246662,-80.38125
2008-10-21,019-21572,40.8063,-80.044012
2008-10-21,125-23194,40.261661,-80.272108
2008-10-22,019-21569,40.804847,-80.049337
2008-10-23,027-21476,41.130933,-78.04724
2008-10-23,083-53843,41.785638,-78.545805
2008-10-23,115-20049,41.734197,-75.869116
2008-10-24,117-20206,41.781425,-77.130154
2008-10-25,125-23057,40.276522,-80.249829
2008-10-26,125-22961,40.270078,-80.402084
2008-10-28,125-23277,40.232829,-80.338027
2008-10-29,125-23284,40.232801,-80.33786
2008-10-30,027-21474,41.118789,-78.06044
2008-10-31,059-24718,39.825736,-80.039366
2008-10-31,115-20047,41.73648,-75.862798
2008-11-01,059-24921,39.891863,-80.285393
2008-11-02,125-23282,40.232801,-80.337916
2008-11-03,115-20037,41.752255,-76.001266
2008-11-04,081-20119,41.270803,-76.659746
2008-11-04,125-23359,40.27655,-80.249829
2008-11-06,015-20111,41.895563,-76.409685
2008-11-06,125-23283,40.232801,-80.337971
2008-11-07,015-20099,41.724952,-76.78267
2008-11-07,125-23070,40.270412,-80.398167
2008-11-10,015-20098,41.85852,-76.687441
2008-11-10,063-36255,40.751501,-79.044096
2008-11-10,125-23334,40.452937,-80.343859
2008-11-13,023-20121,41.416401,-78.271951
2008-11-13,059-24905,39.914026,-79.937212
2008-11-13,059-24644,39.909901,-80.014989
2008-11-13,065-26481,40.997333,-78.859911
2008-11-13,125-23368,40.232773,-80.337693
2008-11-14,015-20095,41.60597,-76.857309
2008-11-16,125-23369,40.232773,-80.337638
2008-11-16,125-23274,40.205607,-80.41914
2008-11-17,015-20085,41.70972,-76.369084
2008-11-17,117-20205,41.791839,-77.117803
2008-11-18,115-20051,41.705441,-75.866018
2008-11-18,129-27566,40.177134,-79.737757
2008-11-20,059-24645,39.907679,-80.012178
2008-11-20,125-23376,40.269412,-80.385
2008-11-20,125-23394,40.234245,-80.41764
2008-11-21,125-23161,40.280467,-80.361166
2008-11-26,033-26758,40.914636,-78.420778
2008-11-28,059-24554,39.879324,-79.970056
2008-11-28,117-20225,41.699879,-77.312771
2008-11-30,125-23370,40.232773,-80.337777
2008-12-03,115-20011,41.70853,-75.880082
2008-12-05,003-21994,40.657901,-79.781085
2008-12-05,059-24708,39.926493,-79.994391
2008-12-05,115-20062,41.915353,-75.812576
2008-12-06,117-20223,41.699412,-77.295746
2008-12-06,125-23395,40.236634,-80.411696
2008-12-08,023-20123,41.415681,-78.248698
2008-12-08,125-23429,40.268967,-80.390473
2008-12-08,125-23384,40.234273,-80.417613
2008-12-09,015-20115,41.742968,-76.62087
2008-12-10,015-20092,41.7245,-76.805755
2008-12-11,105-21298,41.614846,-77.876404
2008-12-12,059-24935,39.823,-80.022638
2008-12-12,059-24998,39.918794,-80.01723
2008-12-12,125-23275,40.205551,-80.419113
2008-12-13,047-24172,41.292342,-78.621939
2008-12-14,059-25029,39.830777,-80.023073
2008-12-16,023-20122,41.4464,-78.25182
2008-12-16,125-23328,40.173218,-80.052823
2008-12-17,115-20054,41.734332,-75.869334
2008-12-17,115-20057,41.718363,-75.885966
2008-12-17,117-20224,41.771873,-77.319196
2008-12-18,015-20107,41.860456,-76.684474
